Date,High,Low
20080204,66,39
20080205,64,43
20080206,61,46
20080207,61,51
20080208,60,51
20080209,61,55
20080210,62,55
20080211,61,46
20080212,59,43
20080213,57,46
20080214,61,39
20080215,64,44
20080216,71,46
20080217,73,51
20080218,60,46
20080219,63,44
20080220,57,45
20080221,59,48
20080222,55,44
20080223,55,42
20080224,57,39
20080225,55,48
20080226,57,44
20080227,53,39
20080228,53,37
20080301,54,37
20080302,61,39
20080303,66,43
20080304,70,48
20080305,68,53
20080306,69,46
20080307,62,51
20080308,61,46
20080309,60,45
20080310,68,46
20080311,79,48
20080312,80,52
20080313,73,53
20080314,64,48
20080315,78,46
20080316,78,50
20080317,62,51
20080318,66,46
20080319,64,48
20080320,60,48
20080321,66,46
20080322,73,43
20080323,78,48
20080324,68,48
20080325,64,53
20080326,66,48
20080327,57,46
20080328,66,42
20080329,73,42
20080330,72,46
20080331,69,46
20080401,64,46
20080402,69,46
20080403,71,46
20080404,69,50
20080405,71,52
20080406,64,52
20080407,68,51
20080408,71,51
20080409,66,50
20080410,72,46
20080411,63,50
20080412,64,46
20080413,70,44
20080414,57,51
20080415,68,46
20080416,75,46
20080417,62,48
20080418,61,45
20080419,57,42
20080420,64,46
20080421,61,43
20080422,63,48
20080423,70,44
20080424,66,46
20080425,66,48
20080426,69,48
20080427,82,50
20080428,81,55
20080429,70,53
20080430,77,51
20080501,70,48
20080502,66,52
20080503,63,48
20080504,64,51
20080505,73,46
20080506,88,54
20080507,91,57
20080508,84,60
20080509,73,55
20080510,57,52
20080511,64,51
20080512,64,50
20080513,72,46
20080514,66,50
20080515,63,51
20080516,70,48
20080517,68,50
20080518,73,50
20080519,70,52
20080520,73,51
20080521,78,54
20080522,81,51
20080523,86,55
20080524,78,55
20080525,69,54
20080526,69,55
20080527,69,54
20080528,73,52
20080529,69,53
20080530,66,55
20080531,64,54
20080601,66,54
20080602,64,54
20080603,70,55
20080604,73,59
20080605,68,55
20080606,70,53
20080607,75,51
20080608,70,50
20080609,75,53
20080610,75,55
20080611,75,53
20080612,79,52
20080613,90,59
20080614,89,60
20080615,86,59
20080616,72,55
20080617,79,53
20080618,79,57
20080619,73,55
20080620,71,55
20080621,77,55
20080622,79,54
20080623,77,54
20080624,77,53
20080625,82,53
20080626,71,54
20080627,73,55
20080628,73,57
20080629,77,60
20080630,75,54
20080701,78,54
20080702,82,57
20080703,72,57
20080704,84,59
20080705,84,61
20080706,75,60
20080707,73,55
20080708,78,55
20080709,73,57
20080710,73,59
20080711,78,62
20080712,75,59
20080713,79,60
20080714,73,60
20080715,78,62
20080716,75,59
20080717,77,60
20080718,75,63
20080719,80,59
20080720,79,59
20080721,77,61
20080722,75,63
20080723,79,64
20080724,73,61
20080725,72,57
20080726,75,60
20080727,78,60
20080728,77,57
20080729,73,57
20080730,80,59
20080731,75,59
20080801,75,59
20080802,73,60
20080803,79,60
20080804,77,59
20080805,71,57
20080806,71,59
20080807,73,57
20080808,71,55
20080809,77,60
20080810,77,57
20080811,73,57
20080812,72,55
20080813,75,55
20080814,73,55
20080815,75,57
20080816,79,60
20080817,80,55
20080818,78,57
20080819,77,55
20080820,80,64
20080821,82,62
20080822,82,60
20080823,82,57
20080824,78,59
20080825,73,61
20080826,73,61
20080827,78,59
20080828,86,62
20080829,88,68
20080830,90,68
20080831,80,66
20080901,87,62
20080902,89,61
20080903,78,61
20080904,78,63
20080905,89,57
20080906,82,64
20080907,75,61
20080908,73,62
20080909,71,61
20080910,73,59
20080911,71,59
20080912,72,60
20080913,77,57
20080914,75,60
20080915,73,57
20080916,72,61
20080917,72,55
20080918,73,55
20080919,66,55
20080920,71,52
20080921,77,57
20080922,64,57
20080923,68,55
20080924,78,52
20080925,84,53
20080926,87,57
20080927,75,55
20080928,66,54
20080929,73,52
20080930,75,48
20081001,71,57
20081002,81,53
20081003,73,54
20081004,69,55
20081005,64,50
20081006,73,45
20081007,77,46
20081008,79,53
20081009,72,53
20081010,69,54
20081011,70,48
20081012,64,54
20081013,70,53
20081014,66,51
20081015,68,52
20081016,66,52
20081017,66,50
20081018,73,50
20081019,72,57
20081020,66,54
20081021,73,51
20081022,81,51
20081023,84,53
20081024,79,55
20081025,66,53
20081026,68,46
20081027,66,52
20081028,75,52
20081029,63,55
20081030,63,53
20081031,63,54
20081101,66,53
20081102,77,50
20081103,80,48
20081104,77,48
20081105,66,48
20081106,62,52
20081107,61,48
20081108,59,53
20081109,63,48
20081110,66,48
20081111,63,48
20081112,68,44
20081113,72,51
20081114,75,55
20081115,69,51
20081116,63,55
20081117,66,51
20081118,64,53
20081119,66,48
20081120,63,46
20081121,64,43
20081122,64,37
20081123,70,37
20081124,60,37
20081125,60,46
20081126,63,42
20081127,63,45
20081128,64,46
20081129,62,41
20081130,55,42
20081201,57,37
20081202,61,45
20081203,66,50
20081204,61,54
20081205,60,50
20081206,57,48
20081207,55,45
20081208,53,42
20081209,57,39
20081210,57,39
20081211,57,41
20081212,55,35
20081213,59,34
20081214,55,34
20081215,55,39
20081216,55,43
20081217,57,48
20081218,57,43
20081219,59,41
20081220,55,43
20081221,53,39
20081222,53,32
20081223,55,37
20081224,57,45
20081225,57,37
20081226,53,43
20081227,48,37
20081228,48,43
20081229,57,44
20081230,52,43
20081231,57,42
20090101,62,39
20090102,62,44
20090103,62,42
20090104,57,45
20090105,54,44
20090106,55,36
20090107,62,45
20090108,66,48
20090109,63,39
20090110,57,37
20090111,50,37
20090112,48,35
20090113,48,30
20090114,48,28
20090115,53,28
20090116,50,30
20090117,57,37
20090118,61,33
20090119,55,35
20090120,61,35
20090121,64,43
20090122,61,36
20090123,57,35
20090124,60,35
20090125,55,39
20090126,54,44
20090127,57,48
20090128,59,45
20090129,63,45
20090130,59,41
20090131,55,48
20090201,53,46
20090202,55,44
20090203,59,37
20090204,66,39
20090205,64,43
20090206,61,46
20090207,61,51
20090208,60,51
20090209,61,55
20090210,62,55
20090211,61,46
20090212,59,43
20090213,57,46
20090214,61,39
20090215,64,44
20090216,71,46
20090217,73,51
20090218,60,46
20090219,63,44
20090220,57,45
20090221,59,48
20090222,55,44
20090223,55,42
20090224,57,39
20090225,55,48
20090226,57,44
20090227,53,39
20090228,53,37
20090301,54,37
20090302,61,39
20090303,66,43
20090304,70,48
20090305,68,53
20090306,69,46
20090307,62,51
20090308,61,46
20090309,60,45
20090310,68,46
20090311,79,48
20090312,80,52
20090313,73,53
20090314,64,48
20090315,78,46
20090316,78,50
20090317,62,51
20090318,66,46
20090319,64,48
20090320,60,48
20090321,66,46
20090322,73,43
20090323,78,48
20090324,68,48
20090325,64,53
20090326,66,48
20090327,57,46
20090328,66,42
20090329,73,42
20090330,72,46
20090331,69,46
20090401,64,46
20090402,69,46
20090403,71,46
20090404,69,50
20090405,71,52
20090406,64,52
20090407,68,51
20090408,71,51
20090409,66,50
20090410,72,46
20090411,63,50
20090412,64,46
20090413,70,44
20090414,57,51
20090415,68,46
20090416,75,46
20090417,62,48
20090418,61,45
20090419,57,42
20090420,64,46
20090421,61,43
20090422,63,48
20090423,70,44
20090424,66,46
20090425,66,48
20090426,69,48
20090427,82,50
20090428,81,55
20090429,70,53
20090430,77,51
20090501,70,48
20090502,66,52
20090503,63,48
20090504,64,51
20090505,73,46
20090506,88,54
20090507,91,57
20090508,84,60
20090509,73,55
20090510,57,52
20090511,64,51
20090512,64,50
20090513,72,46
20090514,66,50
20090515,63,51
20090516,70,48
20090517,68,50
20090518,73,50
20090519,70,52
20090520,73,51
20090521,78,54
20090522,81,51
20090523,86,55
20090524,78,55
20090525,69,54
20090526,69,55
20090527,69,54
20090528,73,52
20090529,69,53
20090530,66,55
20090531,64,54
20090601,66,54
20090602,64,54
20090603,70,55
20090604,73,59
20090605,68,55
20090606,70,53
20090607,75,51
20090608,70,50
20090609,75,53
20090610,75,55
20090611,75,53
20090612,79,52
20090613,90,59
20090614,89,60
20090615,86,59
20090616,72,55
20090617,79,53
20090618,79,57
20090619,73,55
20090620,71,55
20090621,77,55
20090622,79,54
20090623,77,54
20090624,77,53
20090625,82,53
20090626,71,54
20090627,73,55
20090628,73,57
20090629,77,60
20090630,75,54
20090701,78,54
20090702,82,57
20090703,72,57
20090704,84,59
20090705,84,61
20090706,75,60
20090707,73,55
20090708,78,55
20090709,73,57
20090710,73,59
20090711,78,62
20090712,75,59
20090713,79,60
20090714,73,60
20090715,78,62
20090716,75,59
20090717,77,60
20090718,75,63
20090719,80,59
20090720,79,59
20090721,77,61
20090722,75,63
20090723,79,64
20090724,73,61
20090725,72,57
20090726,75,60
20090727,78,60
20090728,77,57
20090729,73,57
20090730,80,59
20090731,75,59
20090801,75,59
20090802,73,60
20090803,79,60
20090804,77,59
20090805,71,57
20090806,71,59
20090807,73,57
20090808,71,55
20090809,77,60
20090810,77,57
20090811,73,57
20090812,72,55
20090813,75,55
20090814,73,55
20090815,75,57
20090816,79,60
20090817,80,55
20090818,78,57
20090819,77,55
20090820,80,64
20090821,82,62
20090822,82,60
20090823,82,57
20090824,78,59
20090825,73,61
20090826,73,61
20090827,78,59
20090828,86,62
20090829,88,68
20090830,90,68
20090831,80,66
20090901,87,62
20090902,89,61
20090903,78,61
20090904,78,63
20090905,89,57
20090906,82,64
20090907,75,61
20090908,73,62
20090909,71,61
20090910,73,59
20090911,71,59
20090912,72,60
20090913,77,57
20090914,75,60
20090915,73,57
20090916,72,61
20090917,72,55
20090918,73,55
20090919,66,55
20090920,71,52
20090921,77,57
20090922,64,57
20090923,68,55
20090924,78,52
20090925,84,53
20090926,87,57
20090927,75,55
20090928,66,54
20090929,73,52
20090930,75,48
20091001,71,57
20091002,81,53
20091003,73,54
20091004,69,55
20091005,64,50
20091006,73,45
20091007,77,46
20091008,79,53
20091009,72,53
20091010,69,54
20091011,70,48
20091012,64,54
20091013,70,53
20091014,66,51
20091015,68,52
20091016,66,52
20091017,66,50
20091018,73,50
20091019,72,57
20091020,66,54
20091021,73,51
20091022,81,51
20091023,84,53
20091024,79,55
20091025,66,53
20091026,68,46
20091027,66,52
20091028,75,52
20091029,63,55
20091030,63,53
20091031,63,54
20091101,66,53
20091102,77,50
20091103,80,48
20091104,77,48
20091105,66,48
20091106,62,52
20091107,61,48
20091108,59,53
20091109,63,48
20091110,66,48
20091111,63,48
20091112,68,44
20091113,72,51
20091114,75,55
20091115,69,51
20091116,63,55
20091117,66,51
20091118,64,53
20091119,66,48
20091120,63,46
20091121,64,43
20091122,64,37
20091123,70,37
20091124,60,37
20091125,60,46
20091126,63,42
20091127,63,45
20091128,64,46
20091129,62,41
20091130,55,42
20091201,57,37
20091202,61,45
20091203,66,50
20091204,61,54
20091205,60,50
20091206,57,48
20091207,55,45
20091208,53,42
20091209,57,39
20091210,57,39
20091211,57,41
20091212,55,35
20091213,59,34
20091214,55,34
20091215,55,39
20091216,55,43
20091217,57,48
20091218,57,43
20091219,59,41
20091220,55,43
20091221,53,39
20091222,53,32
20091223,55,37
20091224,57,45
20091225,57,37
20091226,53,43
20091227,48,37
20091228,48,43
20091229,57,44
20091230,52,43
20091231,57,42
20090101,62,39
20090102,62,44
20090103,62,42
20090104,57,45
20090105,54,44
20090106,55,36
20090107,62,45
20090108,66,48
20090109,63,39
20090110,57,37
20090111,50,37
20090112,48,35
20090113,48,30
20090114,48,28
20090115,53,28
20090116,50,30
20090117,57,37
20090118,61,33
20090119,55,35
20090120,61,35
20090121,64,43
20090122,61,36
